Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Toronto Raptors,29,240.0,37.4,83.4,.448,9.2,25.9,.357,28.2,57.6,.490,18.7,24.2,.772,9.4,31.5,41.0,21.9,7.4,4.7,15.7,19.8,102.8
2,Milwaukee Bucks,29,240.9,37.4,80.3,.466,10.7,26.9,.396,26.8,53.4,.502,19.8,25.7,.772,9.2,33.1,42.3,21.9,6.9,3.4,16.2,20.1,105.4
3,Oklahoma City Thunder,31,243.2,36.2,80.6,.449,10.7,30.1,.357,25.5,50.5,.504,16.4,21.7,.756,9.2,32.9,42.0,21.3,8.1,4.7,17.7,20.7,99.5
4,Portland Trail Blazers,31,240.8,37.7,84.7,.445,8.7,24.9,.348,29.0,59.8,.485,16.5,22.1,.747,8.7,33.1,41.7,18.2,7.8,5.4,13.2,19.7,100.5
5,New York Knicks,30,240.8,37.7,84.6,.445,11.8,32.4,.364,25.9,52.2,.496,16.8,21.6,.775,10.0,30.2,40.2,22.7,8.4,5.1,14.6,20.5,103.9
6,San Antonio Spurs,32,240.0,37.6,83.3,.451,9.3,26.8,.348,28.3,56.6,.501,13.3,18.5,.721,8.8,32.3,41.2,20.9,8.1,3.7,14.1,19.4,97.9
7,Memphis Grizzlies,31,240.8,36.0,79.5,.453,10.4,27.5,.376,25.6,51.9,.493,18.8,24.2,.778,9.6,32.8,42.4,20.7,7.4,5.5,15.0,20.7,101.1
8,Houston Rockets,30,240.0,39.4,85.3,.462,10.4,28.7,.362,29.0,56.6,.512,15.5,20.8,.745,8.0,32.7,40.7,21.9,7.9,4.6,15.2,21.0,104.6
9,Miami Heat,31,240.8,37.2,82.6,.450,9.2,25.1,.367,28.0,57.5,.487,18.2,23.3,.781,9.1,33.9,42.9,20.0,7.9,4.4,14.1,19.0,101.8
10,Los Angeles Clippers,30,240.8,38.5,84.4,.457,10.4,28.7,.362,28.1,55.6,.506,18.2,23.6,.771,10.0,34.0,44.0,23.9,8.3,5.1,14.8,21.5,105.6
11,Detroit Pistons,31,240.0,38.3,82.0,.467,10.3,27.5,.374,28.0,54.5,.513,15.4,20.0,.769,9.1,33.6,42.7,24.3,7.1,5.4,15.7,18.5,102.3
12,Chicago Bulls,30,241.7,39.6,85.6,.462,10.9,30.2,.361,28.7,55.5,.517,15.7,19.9,.789,8.1,37.6,45.7,24.5,7.0,4.5,13.0,16.7,105.8
13,Los Angeles Lakers,29,243.4,41.2,90.8,.453,10.3,30.1,.344,30.8,60.8,.507,17.1,22.3,.765,10.4,35.8,46.2,22.6,8.2,5.7,16.0,21.1,109.8
14,Washington Wizards,31,241.6,37.6,83.7,.449,9.5,28.3,.337,28.1,55.4,.506,18.5,24.3,.760,10.1,33.9,44.0,21.5,6.9,4.8,15.5,21.2,103.1
15,Utah Jazz,32,240.8,37.0,80.6,.460,9.8,26.4,.371,27.3,54.2,.503,17.2,22.2,.774,8.9,34.2,43.1,19.5,8.3,4.6,16.1,20.0,101.0
16,Sacramento Kings,31,240.8,38.5,82.1,.470,11.9,31.5,.377,26.6,50.5,.527,16.0,20.9,.764,9.9,33.9,43.8,23.8,8.0,4.5,15.1,18.3,105.0
17,Golden State Warriors,31,241.6,38.7,90.0,.430,10.5,29.5,.354,28.3,60.5,.467,17.4,23.0,.756,11.0,30.7,41.7,23.0,8.8,4.1,15.1,18.5,105.3
18,Philadelphia 76ers,30,243.3,39.5,89.1,.443,10.5,30.1,.349,29.0,59.0,.492,19.8,26.5,.747,10.1,32.8,42.9,22.0,9.2,5.9,14.4,21.3,109.3
19,Dallas Mavericks,32,240.8,37.3,81.6,.458,10.4,28.9,.359,27.0,52.7,.512,17.5,22.5,.775,8.5,37.2,45.7,22.1,8.0,4.4,14.2,19.9,102.6
20,Charlotte Hornets,31,241.6,40.0,87.9,.455,10.9,30.9,.352,29.1,57.0,.511,15.5,19.5,.797,8.3,35.5,43.8,23.1,6.8,5.0,13.9,23.1,106.4
21,Brooklyn Nets,30,240.0,41.7,89.4,.466,9.5,26.5,.358,32.2,62.8,.512,17.8,23.2,.770,10.3,36.2,46.5,21.2,7.9,5.4,13.8,21.8,110.7
22,Denver Nuggets,31,241.6,41.0,85.2,.481,11.0,29.0,.380,30.0,56.2,.533,14.2,18.9,.753,9.2,31.9,41.2,24.1,8.3,4.7,15.4,20.2,107.3
23,Boston Celtics,34,240.7,36.7,83.5,.440,9.2,26.6,.347,27.5,56.9,.484,15.6,20.6,.758,9.4,33.6,43.0,20.3,7.0,4.0,14.3,19.6,98.3
